CRUISEINFO ,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,
224,PROJECT,DATA ARCHAEOLOGY AND RESCUE,,,,,,,,
1037,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,PLATFORM,,,,,,,,,
,CRUISE,,,,,,,,,
,REFERENCE,,,,,,,,,
1037,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
1037,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,NUMBER,,,,,,,,,

STATION,5889,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,2,15,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,
LONG END,33,39.4,,E,,,
BOTTOM DEPTH,65,m,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,
MESH SIZE,0.168,MM,,,,,
MOUTH AREA,0.1,M2,,,,,
MOUTH DIAM,0.36,M,,,,,
PRESERVATIVE,FORMALIN,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,0,6.7,25,20,0,0,ACARTIA LONGIREMIS   Female  Cop 6
,5,6.1,25.1,30,0,0,ACARTIA LONGIREMIS   Male  Cop 6
,10,5.7,25.9,100,0,0,ACARTIA LONGIREMIS   Cop 
,15,4.8,26.1,20,3,1,ACARTIA LONGIREMIS   Juv 
,25,2.5,27.5,5,3,0,ACARTIA LONGIREMIS   Naup 
,50,-0.6,28.1,1,0,5,AGLANTHA DIGITALE
,65,-0.6,28.3,0,0,0,ASCIDIA Larvae
,,,,10,0,0,BIVALVIA larvae
,,,,0,0,1,CALANUS GLACIALIS   Male  Cop 6
,,,,0,0,5,CALANUS GLACIALIS   Cop 5
,,,,1,67,2,CALANUS GLACIALIS   Cop 3
,,,,200,335,104,CALANUS GLACIALIS   Cop 2
,,,,100,871,250,CALANUS GLACIALIS   Cop 1
,,,,200,400,80,CALANUS GLACIALIS   Naup 
,,,,1,0,0,CENTROPAGES HAMATUS   Female  Cop 6
,,,,3,0,0,CENTROPAGES HAMATUS   Cop 
,,,,3,1,0,CIRRIPEDIA  Naup 
,,,,8,0,0,EVADNE NORDMANNI
,,,,10,134,5,GASTROPODA Larvae
,,,,0,0,21,METRIDIA LONGA   Female  Cop 6
,,,,0,0,9,METRIDIA LONGA   Male  Cop 6
,,,,0,0,24,METRIDIA LONGA   Cop 5
,,,,0,0,25,METRIDIA LONGA   Cop 4
,,,,5,469,250,METRIDIA LONGA   Naup 
,,,,20,7,0,MICROSETELLA NORVEGICA
,,,,30,20,0,MICROSETELLA NORVEGICA   Cop 
,,,,4400,5200,475,OITHONA SIMILIS   Female  Cop 6
,,,,500,871,75,OITHONA SIMILIS   Male  Cop 6
,,,,700,200,0,OITHONA SIMILIS   Cop 
,,,,5,0,0,OITHONA SIMILIS   Naup 
,,,,0,134,326,ONCAEA BOREALIS   Female  Cop 6
,,,,0,7,5,ONCAEA BOREALIS   Male  Cop 6
,,,,0,469,950,ONCAEA BOREALIS   Cop 
,,,,3,0,0,PARAFAVELLA DENTICULATA
,,,,0,1,0,PODON LEUCKARTI
,,,,5,0,5,POLYCHAETA Larvae
,,,,0,0,375,PSEUDOCALANUS MINUTUS   Female  Cop 6,,,
,,,,0,0,2,PSEUDOCALANUS MINUTUS   Male  Cop 6,,,
,,,,5,134,980,PSEUDOCALANUS MINUTUS   Cop 5,,,
,,,,30,134,880,PSEUDOCALANUS MINUTUS   Cop 4,,,
,,,,200,536,525,PSEUDOCALANUS MINUTUS   Cop 3,,,
,,,,400,469,350,PSEUDOCALANUS MINUTUS   Cop 2,,,
,,,,2100,2680,860,PSEUDOCALANUS MINUTUS   Cop 1,,,
,,,,900,2000,250,PSEUDOCALANUS MINUTUS   Naup ,,,
,,,,100,23,3,SAGITTA ELEGANS,,,
,,,,3,0,0,TEMORA LONGICORNIS   Naup ,,,
STATION,6010,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,16,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,
BOTTOM DEPTH,65,m,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,
MESH SIZE,0.168,MM,,,,,
MOUTH AREA,0.1,M2,,,,,
MOUTH DIAM,0.36,M,,,,,
PRESERVATIVE,FORMALIN,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,0,7.3,25.6,30,0,0,ACARTIA LONGIREMIS   Female  Cop 6
,5,7.3,25.6,30,0,0,ACARTIA LONGIREMIS   Male  Cop 6
,10,7.1,25.6,30,2,0,ACARTIA LONGIREMIS   Cop 
,15,5.5,25.9,10,0,0,ACARTIA LONGIREMIS   Juv 
,25,0.2,27.5,20,2,0,ACARTIA LONGIREMIS   Naup 
,50,-0.3,27.9,100,11,1,AGLANTHA DIGITALE
,65,-0.3,28.3,0,0,0,ASCIDIA Larvae
,,,,30,1,1,BIVALVIA larvae
,,,,0,2,1,CALANUS GLACIALIS   Male  Cop 6
,,,,0,3,3,CALANUS GLACIALIS   Cop 5
,,,,1,0,0,CALANUS GLACIALIS   Cop 4
,,,,15,63,2,CALANUS GLACIALIS   Cop 3
,,,,200,125,1,CALANUS GLACIALIS   Cop 2
,,,,300,63,1,CALANUS GLACIALIS   Cop 1
,,,,30,19,0,CALANUS GLACIALIS   Naup 
,,,,2,0,0,CENTROPAGES HAMATUS   Female  Cop 6
,,,,3,0,0,CENTROPAGES HAMATUS   Male  Cop 6
,,,,2,2,0,CIRRIPEDIA  Naup 
,,,,1,0,0,ECHINODERMATA Larvae
,,,,6,0,0,EVADNE NORDMANNI
,,,,1,0,1,FRITILLARIA BOREALIS
,,,,100,6,0,GASTROPODA Larvae
,,,,0,0,6,METRIDIA LONGA   Female  Cop 6
,,,,0,0,1,METRIDIA LONGA   Male  Cop 6
,,,,0,0,1,METRIDIA LONGA   Cop 5
,,,,0,0,1,METRIDIA LONGA   Cop 4
,,,,0,0,1,METRIDIA LONGA   Cop 3
,,,,30,750,130,METRIDIA LONGA   Naup 
,,,,30,3,1,MICROSETELLA NORVEGICA
,,,,30,2,0,MICROSETELLA NORVEGICA   Cop 
,,,,0,4,0,OICOPLEURA VANHOFFENIS
,,,,3100,1000,0,OITHONA SIMILIS   Female  Cop 6
,,,,1200,63,1,OITHONA SIMILIS   Male  Cop 6
