SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007
050,04,009,Arizona,Graham County,2,2,2,37,37,34,35,35,37,39,41,43,44
050,04,009,Arizona,Graham County,2,2,3,133,133,134,141,139,138,139,140,141,142
050,04,009,Arizona,Graham County,2,2,4,12,12,12,12,12,13,14,14,14,14
050,04,009,Arizona,Graham County,2,2,5,15,15,13,13,13,13,13,13,13,13
050,04,011,Arizona,Greenlee County,0,0,1,8308,8308,8297,8037,7463,7138,7062,7042,7196,7460
050,04,011,Arizona,Greenlee County,0,0,2,59,59,57,57,57,59,61,66,67,85
050,04,011,Arizona,Greenlee County,0,0,3,233,233,241,251,252,254,256,256,270,278
050,04,011,Arizona,Greenlee County,0,0,4,28,28,22,22,22,23,23,24,26,31
050,04,011,Arizona,Greenlee County,0,0,5,10,10,11,12,12,12,12,13,13,13
050,04,011,Arizona,Greenlee County,0,1,1,4695,4695,4671,4498,4124,3880,3834,3799,3914,4059
050,04,011,Arizona,Greenlee County,0,1,2,36,36,35,35,35,35,37,41,42,56
050,04,011,Arizona,Greenlee County,0,1,3,174,174,174,183,184,186,188,187,200,208
050,04,011,Arizona,Greenlee County,0,1,4,21,21,15,15,15,16,16,17,19,23
050,04,011,Arizona,Greenlee County,0,1,5,1,1,1,1,1,1,1,1,1,1
050,04,011,Arizona,Greenlee County,0,2,1,3613,3613,3626,3539,3339,3258,3228,3243,3282,3401
050,04,011,Arizona,Greenlee County,0,2,2,23,23,22,22,22,24,24,25,25,29
050,04,011,Arizona,Greenlee County,0,2,3,59,59,67,68,68,68,68,69,70,70
050,04,011,Arizona,Greenlee County,0,2,4,7,7,7,7,7,7,7,7,7,8
050,04,011,Arizona,Greenlee County,0,2,5,9,9,10,11,11,11,11,12,12,12
050,04,011,Arizona,Greenlee County,1,0,1,4329,4329,4324,4190,3899,3732,3695,3686,3759,3887
050,04,011,Arizona,Greenlee County,1,0,2,28,28,27,27,27,27,28,29,30,39
050,04,011,Arizona,Greenlee County,1,0,3,129,129,135,138,139,139,141,142,146,150
050,04,011,Arizona,Greenlee County,1,0,4,9,9,8,8,8,9,9,10,10,12
050,04,011,Arizona,Greenlee County,1,0,5,7,7,8,9,9,9,9,10,10,10
050,04,011,Arizona,Greenlee County,1,1,1,2470,2470,2456,2365,2181,2060,2036,2011,2065,2131
050,04,011,Arizona,Greenlee County,1,1,2,17,17,17,17,17,17,18,19,19,26
050,04,011,Arizona,Greenlee County,1,1,3,97,97,98,101,102,102,104,104,108,112
050,04,011,Arizona,Greenlee County,1,1,4,5,5,4,4,4,5,5,6,6,7
050,04,011,Arizona,Greenlee County,1,1,5,1,1,1,1,1,1,1,1,1,1
050,04,011,Arizona,Greenlee County,1,2,1,1859,1859,1868,1825,1718,1672,1659,1675,1694,1756
050,04,011,Arizona,Greenlee County,1,2,2,11,11,10,10,10,10,10,10,11,13
050,04,011,Arizona,Greenlee County,1,2,3,32,32,37,37,37,37,37,38,38,38
050,04,011,Arizona,Greenlee County,1,2,4,4,4,4,4,4,4,4,4,4,5
050,04,011,Arizona,Greenlee County,1,2,5,6,6,7,8,8,8,8,9,9,9
050,04,011,Arizona,Greenlee County,2,0,1,3979,3979,3973,3847,3564,3406,3367,3356,3437,3573
050,04,011,Arizona,Greenlee County,2,0,2,31,31,30,30,30,32,33,37,37,46
050,04,011,Arizona,Greenlee County,2,0,3,104,104,106,113,113,115,115,114,124,128
050,04,011,Arizona,Greenlee County,2,0,4,19,19,14,14,14,14,14,14,16,19
050,04,011,Arizona,Greenlee County,2,0,5,3,3,3,3,3,3,3,3,3,3
050,04,011,Arizona,Greenlee County,2,1,1,2225,2225,2215,2133,1943,1820,1798,1788,1849,1928
050,04,011,Arizona,Greenlee County,2,1,2,19,19,18,18,18,18,19,22,23,30
050,04,011,Arizona,Greenlee County,2,1,3,77,77,76,82,82,84,84,83,92,96
050,04,011,Arizona,Greenlee County,2,1,4,16,16,11,11,11,11,11,11,13,16
050,04,011,Arizona,Greenlee County,2,1,5,0,0,0,0,0,0,0,0,0,0
050,04,011,Arizona,Greenlee County,2,2,1,1754,1754,1758,1714,1621,1586,1569,1568,1588,1645
050,04,011,Arizona,Greenlee County,2,2,2,12,12,12,12,12,14,14,15,14,16
050,04,011,Arizona,Greenlee County,2,2,3,27,27,30,31,31,31,31,31,32,32
050,04,011,Arizona,Greenlee County,2,2,4,3,3,3,3,3,3,3,3,3,3
050,04,011,Arizona,Greenlee County,2,2,5,3,3,3,3,3,3,3,3,3,3
050,04,012,Arizona,La Paz County,0,0,1,16791,16791,16733,16719,16498,16608,16752,16990,17049,17150
050,04,012,Arizona,La Paz County,0,0,2,220,220,194,210,235,247,247,248,248,255
050,04,012,Arizona,La Paz County,0,0,3,2866,2866,2880,2789,2794,2836,2849,2886,2899,2945
050,04,012,Arizona,La Paz County,0,0,4,107,107,98,109,108,119,124,135,133,136
050,04,012,Arizona,La Paz County,0,0,5,40,40,24,23,24,24,24,24,24,24
050,04,012,Arizona,La Paz County,0,1,1,12848,12848,12785,12794,12660,12621,12763,12932,13078,13198
050,04,012,Arizona,La Paz County,0,1,2,186,186,166,181,206,215,214,214,213,220
050,04,012,Arizona,La Paz County,0,1,3,2392,2392,2410,2314,2309,2334,2332,2358,2366,2406
050,04,012,Arizona,La Paz County,0,1,4,102,102,88,95,94,103,105,114,112,115
050,04,012,Arizona,La Paz County,0,1,5,23,23,10,9,10,10,10,10,10,10
050,04,012,Arizona,La Paz County,0,2,1,3943,3943,3948,3925,3838,3987,3989,4058,3971,3952
050,04,012,Arizona,La Paz County,0,2,2,34,34,28,29,29,32,33,34,35,35
050,04,012,Arizona,La Paz County,0,2,3,474,474,470,475,485,502,517,528,533,539
050,04,012,Arizona,La Paz County,0,2,4,5,5,10,14,14,16,19,21,21,21
050,04,012,Arizona,La Paz County,0,2,5,17,17,14,14,14,14,14,14,14,14
050,04,012,Arizona,La Paz County,1,0,1,8701,8701,8676,8655,8496,8525,8576,8648,8664,8695
050,04,012,Arizona,La Paz County,1,0,2,126,126,113,120,136,140,139,140,140,145
050,04,012,Arizona,La Paz County,1,0,3,1372,1372,1380,1342,1339,1362,1365,1384,1395,1419
