"Location","ST","CO","Median Value (Dollars) for Specified Owner-Occupied Housing Units","Disabilities- White Alone Males","Disabilities- White Alone Females","Disabilities- Black Alone Males","Disabilities- Black Alone Females","Disabilities- American Indian and Alaska Native Alone Males","Disabilities- American Indian and Alaska Native Alone Females","Disabilities- Asian Alone Males","Disabilities -PCT68D- Asian Alone Females","Disabilities- Native Hawaiian or Pacific Islander Alone Males","Disabilities- Native Hawaiian or Pacific Islander Alone Females","Disabilities- Some Other Race Males","Disabilities- Some Other Race Females","Disabilities- Two or More Races Males","Disabilities- Two or More Races Females","Disabilities- Hispanic Males","Disabilities- Hispanic Females","Disabilities- White Alone, Not Hispanic Males","Disabilities- White Alone, Not Hispanic Females","Per Capita Income 2001","Per Capita Income 2002","Per Capita Income 2003","75% of 3 Year Average Per Capita Income","Unemployment Rate, 2002","Unemployment Rate, 2003","Unemployment Rate, 2004"
"Location","ST","CO","EWP001","EWP03","EWP02A2","EWP02A3","EWP02A4","EWP02A5","EWP02A6","EWP02A7","EWP02A8","EWP02A9","EWP02A10","EWP02A11","EWP02A12","EWP02A13","EWP02A14","EWP02A15","EWP02A16","EWP02A17","EWP02A18","EWP02A19","EWP02A20","EWP02A21","EWP02A22","EWP02A23","EWP02A24","EWP02A25","EWP02A26","EWP02A27","EWP031","EWP04","EWP05","EWP052","EWP06","EWP07","EWP08"
"Floyd County","21","071","53100","29864     ","6989      ","6416      ","95        ","54        ","13        ","30        ","5         ","10        ","21        ","0         ","14        ","0         ","0         ","0         ","23        ","11        ","10        ","96        ","8         ","27        ","118       ","50        ","38        ","29763     ","6950      ","6384      ","19123","19863","20290","14818     ","     7.2","     8.3","     7.1"
"Franklin County","21","073","91600","17141     ","4404      ","4799      ","1027      ","315       ","339       ","54        ","13        ","34        ","114       ","7         ","28        ","0         ","0         ","0         ","57        ","20        ","12        ","243       ","79        ","86        ","124       ","56        ","19        ","17052     ","4368      ","4786      ","27316","28359","29387","21265     ","     4.3","     4.7","     4.0"
"Fulton County","21","075","40500","2908      ","618       ","715       ","644       ","158       ","211       ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","6         ","6         ","0         ","86        ","13        ","34        ","6         ","6         ","0         ","2908      ","618       ","715       ","21392","21822","23468","16670     ","     7.0","    11.5","     9.0"
"Gallatin County","21","077","87100","3104      ","933       ","831       ","36        ","10        ","13        ","0         ","0         ","0         ","2         ","0         ","1         ","0         ","0         ","0         ","3         ","1         ","2         ","25        ","9         ","2         ","8         ","6         ","0         ","3097      ","928       ","831       ","19882","21041","21642","15641     ","     5.8","     5.8","     5.5"
"Garrard County","21","079","81300","6492      ","1695      ","1679      ","164       ","40        ","51        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","51        ","12        ","15        ","59        ","21        ","13        ","6433      ","1674      ","1666      ","20825","20978","21375","15794     ","     5.4","     5.6","     5.2"
"Grant County","21","081","93100","8740      ","2342      ","2298      ","13        ","2         ","3         ","55        ","17        ","2         ","36        ","12        ","12        ","5         ","5         ","0         ","13        ","11        ","2         ","44        ","9         ","16        ","49        ","23        ","21        ","8704      ","2330      ","2279      ","20635","20946","21468","15762     ","     5.5","     6.0","     5.2"
"Graves County","21","083","63600","14983     ","3643      ","3918      ","816       ","178       ","226       ","80        ","25        ","22        ","2         ","0         ","2         ","0         ","0         ","0         ","104       ","67        ","9         ","203       ","17        ","60        ","198       ","142       ","13        ","14916     ","3580      ","3914      ","21980","21404","21944","16332     ","     7.0","     7.4","     7.0"
"Grayson County","21","085","65600","12253     ","3150      ","3045      ","17        ","8         ","7         ","18        ","0         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","8         ","8         ","0         ","67        ","16        ","13        ","77        ","34        ","16        ","12184     ","3124      ","3029      ","18346","18919","19379","14160     ","     8.1","     9.3","     6.8"
"Green County","21","087","52500","5418      ","1263      ","1387      ","157       ","21        ","46        ","30        ","0         ","5         ","20        ","0         ","10        ","0         ","0         ","0         ","0         ","0         ","0         ","61        ","4         ","13        ","20        ","2         ","6         ","5398      ","1261      ","1381      ","17430","18099","18257","13446     ","     5.2","     6.3","     5.1"
"Greenup County","21","089","67500","18620     ","4607      ","4646      ","123       ","30        ","43        ","25        ","10        ","7         ","43        ","7         ","12        ","0         ","0         ","0         ","8         ","6         ","1         ","271       ","55        ","66        ","101       ","36        ","29        ","18527     ","4577      ","4618      ","21720","22886","23482","17022     ","     6.1","     6.9","     6.0"
