SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,013,Maryland,Carroll County,3,151579,74819,76760,10115,5210,4905,22326,11525,10801,9449,4923,4526,10616,5551,5065,114325,55611,58714,109689,53161,56528,63836,31850,31986,36492,18325,18167,16364,6672,9692,2040,512,1528,36.9,36.2,37.6
050,24,013,Maryland,Carroll County,4,154474,76326,78148,10063,5168,4895,22364,11564,10800,9672,5021,4651,11808,6150,5658,117137,57089,60048,112375,54573,57802,64933,32484,32449,37944,18993,18951,16737,6865,9872,2138,562,1576,37.2,36.4,38.0
050,24,013,Maryland,Carroll County,5,158654,78381,80273,10190,5204,4986,22347,11516,10831,10036,5203,4833,12985,6741,6244,121046,59030,62016,116081,56458,59623,66573,33332,33241,39744,19869,19875,17205,7105,10100,2242,591,1651,37.4,36.5,38.2
050,24,013,Maryland,Carroll County,6,162312,80240,82072,10287,5245,5042,22283,11481,10802,10290,5319,4971,14129,7350,6779,124520,60810,63710,119452,58195,61257,68173,34214,33959,41403,20673,20730,17571,7295,10276,2268,616,1652,37.5,36.6,38.4
050,24,013,Maryland,Carroll County,7,165116,81553,83563,10345,5268,5077,21920,11268,10652,10629,5535,5094,14723,7515,7208,127425,62207,65218,122222,59482,62740,68765,34461,34304,43259,21564,21695,18029,7532,10497,2308,643,1665,37.7,36.7,38.6
050,24,013,Maryland,Carroll County,8,166961,82511,84450,10314,5250,5064,21459,11061,10398,10897,5672,5225,14852,7615,7237,129622,63312,66310,124291,60528,63763,69114,34670,34444,44779,22323,22456,18545,7791,10754,2433,687,1746,37.9,36.8,38.9
050,24,013,Maryland,Carroll County,9,168403,83214,85189,10072,5095,4977,21058,10813,10245,10950,5737,5213,15276,7820,7456,131821,64444,67377,126323,61569,64754,69327,34818,34509,46150,23007,23143,19109,8044,11065,2524,719,1805,38.2,37.1,39.2
050,24,013,Maryland,Carroll County,10,169220,83636,85584,9994,5112,4882,20600,10555,10045,10887,5674,5213,15559,7938,7621,133355,65233,68122,127739,62295,65444,69043,34719,34324,47264,23618,23646,19741,8338,11403,2633,763,1870,38.4,37.3,39.5
050,24,015,Maryland,Cecil County,1,85951,42594,43357,5957,2998,2959,12680,6559,6121,5152,2637,2515,6406,3195,3211,64684,31686,32998,62162,30400,31762,37047,18280,18767,19965,10125,9840,8995,3965,5030,807,233,574,35.5,35.2,35.9
050,24,015,Maryland,Cecil County,2,85951,42594,43357,5957,2998,2959,12680,6559,6121,5152,2637,2515,6406,3195,3211,64684,31686,32998,62162,30400,31762,37047,18280,18767,19965,10125,9840,8995,3965,5030,807,233,574,35.5,35.2,35.9
050,24,015,Maryland,Cecil County,3,86471,42845,43626,5965,3005,2960,12714,6580,6134,5184,2653,2531,6472,3219,3253,65142,31898,33244,62608,30607,32001,37202,18344,18858,20216,10249,9967,9066,4000,5066,820,238,582,35.6,35.2,36.0
050,24,015,Maryland,Cecil County,4,88271,43696,44575,5928,2973,2955,12763,6576,6187,5341,2755,2586,6933,3443,3490,66863,32745,34118,64239,31392,32847,37953,18723,19230,20935,10598,10337,9293,4101,5192,869,259,610,35.8,35.3,36.2
050,24,015,Maryland,Cecil County,5,90090,44512,45578,6009,3026,2983,12587,6476,6111,5602,2872,2730,7338,3638,3700,68570,33512,35058,65892,32138,33754,38882,19191,19691,21573,10872,10701,9522,4183,5339,921,258,663,35.9,35.4,36.3
050,24,015,Maryland,Cecil County,6,92410,45639,46771,6111,3066,3045,12534,6401,6133,5751,2986,2765,7832,3905,3927,70765,34609,36156,68014,33186,34828,40075,19808,20267,22358,11259,11099,9859,4318,5541,1008,285,723,35.9,35.4,36.4
050,24,015,Maryland,Cecil County,7,94738,46736,48002,6255,3166,3089,12421,6309,6112,6032,3136,2896,7973,3934,4039,72997,35649,37348,70030,34125,35905,41172,20373,20799,23197,11650,11547,10118,4427,5691,1070,304,766,35.9,35.4,36.4
050,24,015,Maryland,Cecil County,8,96706,47729,48977,6319,3201,3118,12365,6277,6088,6152,3199,2953,7955,3989,3966,74911,36637,38274,71870,35052,36818,42287,20930,21357,23900,12001,11899,10311,4530,5781,1106,324,782,35.9,35.4,36.4
050,24,015,Maryland,Cecil County,9,98674,48712,49962,6447,3293,3154,12213,6229,5984,6176,3182,2994,7982,4016,3966,76932,37636,39296,73838,36008,37830,43263,21440,21823,24520,12294,12226,10681,4702,5979,1217,365,852,36.0,35.5,36.5
050,24,015,Maryland,Cecil County,10,99695,49207,50488,6519,3342,3177,12077,6136,5941,6133,3144,2989,8033,4050,3983,78079,38202,39877,74966,36585,38381,43591,21553,22038,24988,12552,12436,11047,4856,6191,1301,387,914,36.2,35.7,36.6
050,24,017,Maryland,Charles County,1,120546,58878,61668,8603,4471,4132,18157,9197,8960,7891,4001,3890,9108,4566,4542,89734,43156,46578,85895,41209,44686,55028,26776,28252,27305,13487,13818,9402,3916,5486,902,237,665,34.6,34.0,35.1
050,24,017,Maryland,Charles County,2,120546,58878,61668,8603,4471,4132,18157,9197,8960,7891,4001,3890,9108,4566,4542,89734,43156,46578,85895,41209,44686,55028,26776,28252,27305,13487,13818,9402,3916,5486,902,237,665,34.6,34.0,35.1
050,24,017,Maryland,Charles County,3,121208,59205,62003,8631,4487,4144,18209,9221,8988,7932,4022,3910,9196,4608,4588,90289,43430,46859,86436,41475,44961,55245,26888,28357,27589,13624,13965,9483,3954,5529,916,242,674,34.6,34.1,35.1
050,24,017,Maryland,Charles County,4,124715,60991,63724,8819,4570,4249,18415,9323,9092,8134,4121,4013,10214,5187,5027,93339,45005,48334,89347,42977,46370,56806,27710,29096,28828,14245,14583,9784,4089,5695,978,241,737,34.7,34.0,35.3
050,24,017,Maryland,Charles County,5,127835,62365,65470,8955,4628,4327,18680,9456,9224,8286,4214,4072,10860,5484,5376,96073,46164,49909,91914,44067,47847,58021,28184,29837,30049,14794,15255,10098,4249,5849,1021,262,759,34.8,34.0,35.5
050,24,017,Maryland,Charles County,6,131526,64051,67475,9234,4753,4481,18841,9562,9279,8569,4327,4242,11464,5746,5718,99116,47539,51577,94882,45409,49473,59470,28885,30585,31264,15292,15972,10449,4426,6023,1078,276,802,34.9,34.0,35.6
050,24,017,Maryland,Charles County,7,134634,65545,69089,9425,4839,4586,18853,9637,9216,8851,4447,4404,12008,5904,6104,101719,48771,52948,97505,46622,50883,60735,29459,31276,32501,15848,16653,10778,4603,6175,1107,285,822,34.9,34.1,35.6
050,24,017,Maryland,Charles County,8,137273,66830,70443,9621,4955,4666,18825,9677,9148,9040,4505,4535,12218,6034,6184,104186,49910,54276,99787,47693,52094,61917,30014,31903,33599,16338,17261,11037,4723,6314,1109,287,822,34.9,34.0,35.7
