"Location","ST","CO","Total Males""Total Females""White - All Males""White - All Females""White - Not Hispanic Males""White - Not Hispanic Females""White - Hispanic Males""White - Hispanic Females""Black or African American - All Males""Black or African American - All Females""Black or African American - Not Hispanic Males""Black or African American - Not Hispanic Females""Black or African American - Hispanic Males""Black or African American - Hispanic Females""American Indian and Alaska Native - All Males""American Indian and Alaska Native - All Females""American Indian and Alaska Native - Not Hispanic Males""American Indian and Alaska Native - Not Hispanic Females""American Indian and Alaska Native - Hispanic Males""American Indian and Alaska Native - Hispanic Females""Asian - All Males""Asian - All Females""Asian - Not Hispanic Males""Asian - Not Hispanic Females""Asian - Hispanic Males""Asian - Hispanic Females""Native Hawaiian and Other Pacific Islander - All Males""Native Hawaiian and Other Pacific Islander - All Females""Native Hawaiian and Other Pacific Islander - Not Hispanic Males""Native Hawaiian and Other Pacific Islander - Not Hispanic Females""Native Hawaiian and Other Pacific Islander - Hispanic Males""Native Hawaiian and Other Pacific Islander - Hispanic Females""Some Other Race - All Males""Some Other Race - All Females""Some Other Race - Not Hispanic Males""Some Other Race - Not Hispanic Females""Some Other Race - Hispanic Males""Some Other Race - Hispanic Females""Two or More Races - All Males""Two or More Races - All Females""Two or More Races - Not Hispanic Males""Two or More Races - Not Hispanic Females""Two or More Races - Hispanic Males""Two or More Races - Hispanic Females"
"Location","ST","CO","EWPPCT012002","EWPPCT012106","EWP01","EWP112","EWP113","EWP114","White","EWP116","EWP117","EWP118","EWP119","EWP1110","Black","EWP1112","EWP1113","EWP1114","EWP1115","EWP1116","AI_AL","EWP1118","EWP1119","EWP1120","EWP1121","EWP1122","Asian","EWP1124","EWP1125","EWP1126","EWP1127","EWP1128","PI_Ma","PI_Fe","EWP1131","EWP1132","EWP1133","EWP1134","Other","EWP1136","EWP1137","EWP1138","EWP1139","EWP1140","TwoPl","EWP1142"
"Hamblen County","47","063","28636","29492","25704     ","27028     ","24906     ","26555     ","798       ","473       ","1125      ","1271      ","1109      ","1255      ","16        ","16        ","69        ","61        ","55        ","51        ","14        ","10        ","155       ","180       ","152       ","174       ","3         ","6         ","20        ","13        ","13        ","9         ","7         ","4         ","1246      ","681       ","30        ","43        ","1216      ","638       ","317       ","258       ","256       ","221       ","61        ","37        "
"Hamilton County","47","065","147282","160614","113302    ","121698    ","111915    ","120560    ","1387      ","1138      ","28339     ","33666     ","28195     ","33555     ","144       ","111       ","470       ","430       ","418       ","399       ","52        ","31        ","1931      ","1993      ","1923      ","1982      ","8         ","11        ","122       ","74        ","63        ","45        ","59        ","29        ","1366      ","990       ","122       ","154       ","1244      ","836       ","1752      ","1763      ","1521      ","1563      ","231       ","200       "
"Hancock County","47","067","3307","3479","3238      ","3406      ","3230      ","3395      ","8         ","11        ","21        ","12        ","21        ","12        ","0         ","0         ","10        ","6         ","10        ","6         ","0         ","0         ","1         ","4         ","1         ","4         ","0         ","0         ","1         ","0         ","1         ","0         ","0         ","0         ","9         ","14        ","8         ","12        ","1         ","2         ","27        ","37        ","25        ","36        ","2         ","1         "
"Hardeman County","47","069","15149","12956","8506      ","7610      ","8424      ","7570      ","82        ","40        ","6304      ","5212      ","6277      ","5197      ","27        ","15        ","67        ","7         ","60        ","6         ","7         ","1         ","52        ","36        ","45        ","33        ","7         ","3         ","2         ","3         ","2         ","3         ","0         ","0         ","70        ","15        ","9         ","4         ","61        ","11        ","148       ","73        ","136       ","66        ","12        ","7         "
"Hardin County","47","071","12574","13004","11960     ","12317     ","11865     ","12234     ","95        ","83        ","435       ","509       ","434       ","507       ","1         ","2         ","26        ","24        ","26        ","23        ","0         ","1         ","14        ","28        ","14        ","28        ","0         ","0         ","2         ","2         ","2         ","2         ","0         ","0         ","41        ","36        ","9         ","4         ","32        ","32        ","96        ","88        ","88        ","82        ","8         ","6         "
"Hawkins County","47","073","26054","27509","25340     ","26746     ","25195     ","26604     ","145       ","142       ","393       ","437       ","388       ","434       ","5         ","3         ","41        ","49        ","38        ","47        ","3         ","2         ","49        ","75        ","48        ","70        ","1         ","5         ","6         ","2         ","3         ","2         ","3         ","0         ","76        ","48        ","20        ","18        ","56        ","30        ","149       ","152       ","135       ","144       ","14        ","8         "
"Haywood County","47","075","9255","10542","4430      ","4822      ","4341      ","4747      ","89        ","75        ","4579      ","5527      ","4561      ","5505      ","18        ","22        ","11        ","13        ","7         ","11        ","4         ","2         ","8         ","10        ","8         ","10        ","0         ","0         ","8         ","2         ","1         ","2         ","7         ","0         ","162       ","111       ","0         ","3         ","162       ","108       ","57        ","57        ","37        ","40        ","20        ","17        "
"Henderson County","47","077","12290","13232","11061     ","12024     ","10985     ","11947     ","76        ","77        ","1013      ","1029      ","1009      ","1025      ","4         ","4         ","17        ","16        ","16        ","15        ","1         ","1         ","12        ","23        ","12        ","23        ","0         ","0         ","2         ","1         ","2         ","1         ","0         ","0         ","58        ","26        ","8         ","8         ","50        ","18        ","127       ","113       ","119       ","105       ","8         ","8         "
"Henry County","47","079","15026","16089","13438     ","14319     ","13357     ","14239     ","81        ","80        ","1316      ","1471      ","1311      ","1466      ","5         ","5         ","35        ","24        ","33        ","21        ","2         ","3         ","37        ","49        ","35        ","49        ","2         ","0         ","5         ","4         ","5         ","4         ","0         ","0         ","71        ","51        ","4         ","11        ","67        ","40        ","124       ","171       ","113       ","156       ","11        ","15        "
"Hickman County","47","081","11801","10494","10833     ","10060     ","10763     ","9998      ","70        ","62        ","766       ","243       ","764       ","243       ","2         ","0         ","63        ","45        ","59        ","39        ","4         ","6         ","5         ","13        ","4         ","12        ","1         ","1         ","3         ","0         ","2         ","0         ","1         ","0         ","39        ","25        ","5         ","3         ","34        ","22        ","92        ","108       ","81        ","100       ","11        ","8         "
"Houston County","47","083","3999","4089","3770      ","3880      ","3750      ","3861      ","20        ","19        ","135       ","133       ","134       ","132       ","1         ","1         ","4         ","11        ","4         ","11        ","0         ","0         ","4         ","6         ","4         ","6         ","0         ","0         ","2         ","3         ","2         ","3         ","0         ","0         ","42        ","21        ","3         ","4         ","39        ","17        ","42        ","35        ","40        ","33        ","2         ","2         "
