SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,25,007,Massachussets,Dukes County,1,0,03,141,141,131,121,123,127,147
050,25,007,Massachussets,Dukes County,1,0,04,35,35,36,37,40,40,46
050,25,007,Massachussets,Dukes County,1,0,05,9,9,6,5,6,8,11
050,25,007,Massachussets,Dukes County,1,0,06,126,126,68,62,65,66,75
050,25,007,Massachussets,Dukes County,2,0,01,7161,7161,7261,7322,7403,7483,7478
050,25,007,Massachussets,Dukes County,2,0,02,193,193,204,215,218,227,230
050,25,007,Massachussets,Dukes County,2,0,03,134,134,122,110,116,118,131
050,25,007,Massachussets,Dukes County,2,0,04,44,44,44,49,54,52,52
050,25,007,Massachussets,Dukes County,2,0,05,8,8,1,1,2,2,2
050,25,007,Massachussets,Dukes County,2,0,06,124,124,66,74,67,72,82
050,25,009,Massachussets,Essex County,1,0,01,317634,317634,318136,319732,320271,319728,318882
050,25,009,Massachussets,Essex County,1,0,02,14140,14140,14063,15241,16246,17246,18177
050,25,009,Massachussets,Essex County,1,0,03,1062,1062,1139,1162,1211,1268,1281
050,25,009,Massachussets,Essex County,1,0,04,8859,8859,8790,9447,9922,10227,10596
050,25,009,Massachussets,Essex County,1,0,05,291,291,306,344,355,376,374
050,25,009,Massachussets,Essex County,1,0,06,4435,4435,5124,5575,6064,6543,6970
050,25,009,Massachussets,Essex County,2,0,01,347256,347256,347624,348410,347913,346569,344759
050,25,009,Massachussets,Essex County,2,0,02,14435,14435,14377,15498,16461,17411,18273
050,25,009,Massachussets,Essex County,2,0,03,1079,1079,1153,1180,1215,1259,1292
050,25,009,Massachussets,Essex County,2,0,04,9220,9220,9159,9809,10267,10559,10880
050,25,009,Massachussets,Essex County,2,0,05,306,306,308,335,353,357,358
050,25,009,Massachussets,Essex County,2,0,06,4702,4702,5417,5843,6257,6735,7142
050,25,011,Massachussets,Franklin County,1,0,01,33274,33274,33320,33405,33597,33661,33777
050,25,011,Massachussets,Franklin County,1,0,02,415,415,424,427,438,450,455
050,25,011,Massachussets,Franklin County,1,0,03,103,103,101,101,104,108,109
050,25,011,Massachussets,Franklin County,1,0,04,371,371,378,369,394,399,427
050,25,011,Massachussets,Franklin County,1,0,05,9,9,4,4,3,4,4
050,25,011,Massachussets,Franklin County,1,0,06,455,455,386,389,395,408,410
050,25,011,Massachussets,Franklin County,2,0,01,35621,35621,35650,35677,35718,35677,35687
050,25,011,Massachussets,Franklin County,2,0,02,281,281,309,297,325,328,347
