stcty,reg,div,stname,ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem
30083,4,8,Montana,Richland County,2,9667,4801,4866,558,302,256,1395,711,684,708,376,332,616,314,302,7361,3607,3754,7006,3412,3594,3753,1890,1863,1504,627,877,182,70,112
30085,4,8,Montana,Roosevelt County,2,10620,5264,5356,858,450,408,1907,1007,900,907,446,461,834,419,415,7387,3572,3815,6948,3361,3587,4230,2070,2160,1230,531,699,174,66,108
30087,4,8,Montana,Rosebud County,2,9383,4712,4671,723,362,361,1603,818,785,817,424,393,673,338,335,6626,3311,3315,6240,3108,3132,3683,1800,1883,833,407,426,88,30,58
30089,4,8,Montana,Sanders County,2,10227,5166,5061,482,257,225,1214,640,574,737,362,375,564,294,270,8139,4079,4060,7794,3907,3887,3355,1656,1699,1724,839,885,178,53,125
30091,4,8,Montana,Sheridan County,2,4105,2039,2066,183,113,70,465,234,231,293,136,157,198,113,85,3329,1627,1702,3164,1556,1608,1339,677,662,967,424,543,156,52,104
30093,4,8,Montana,Silver Bow County,2,34606,17108,17498,2001,1009,992,4248,2179,2069,1950,965,985,3331,1838,1493,27353,13425,13928,26407,12955,13452,14009,7226,6783,5545,2247,3298,773,211,562
30095,4,8,Montana,Stillwater County,2,8195,4178,4017,448,227,221,1072,563,509,551,284,267,470,251,219,6413,3249,3164,6124,3104,3020,3086,1578,1508,1186,547,639,148,56,92
30097,4,8,Montana,Sweet Grass County,2,3609,1800,1809,211,109,102,494,259,235,232,109,123,193,109,84,2783,1366,1417,2672,1323,1349,1254,627,627,635,278,357,112,41,71
30099,4,8,Montana,Teton County,2,6445,3174,3271,397,207,190,892,415,477,468,256,212,393,215,178,4917,2428,2489,4688,2296,2392,2345,1205,1140,1073,484,589,156,53,103
30101,4,8,Montana,Toole County,2,5267,2716,2551,282,152,130,698,360,338,365,175,190,359,210,149,4118,2115,2003,3922,2029,1893,2122,1122,1000,837,361,476,105,25,80
30103,4,8,Montana,Treasure County,2,861,439,422,46,24,22,120,71,49,73,30,43,43,27,16,656,326,330,622,314,308,294,149,145,144,60,84,21,3,18
30105,4,8,Montana,Valley County,2,7675,3802,3873,422,215,207,974,512,462,532,273,259,459,250,209,6027,2945,3082,5747,2802,2945,2731,1357,1374,1457,657,800,181,63,118
30107,4,8,Montana,Wheatland County,2,2259,1118,1141,135,72,63,312,147,165,159,76,83,144,71,73,1732,861,871,1653,823,830,759,374,385,436,198,238,61,28,33
30109,4,8,Montana,Wibaux County,2,1068,513,555,56,26,30,139,63,76,81,44,37,62,27,35,834,409,425,792,380,412,364,187,177,230,95,135,42,12,30
30111,4,8,Montana,Yellowstone County,2,129352,63084,66268,8539,4411,4128,16692,8700,7992,7734,3894,3840,11983,5783,6200,100219,48014,52205,96387,46079,50308,54916,26997,27919,17243,7140,10103,2241,670,1571
30001,4,8,Montana,Beaverhead County,3,9199,4713,4486,520,266,254,1072,572,500,647,353,294,1100,575,525,7344,3735,3609,6960,3522,3438,3912,2011,1901,1252,595,657,211,71,140
30003,4,8,Montana,Big Horn County,3,12673,6250,6423,1169,616,553,2261,1181,1080,1033,537,496,1114,559,555,8743,4195,4548,8210,3916,4294,5286,2575,2711,1099,458,641,138,33,105
