Table 1: Carrier Detail by Airport,,,,,,,,,,
"Summarized information by airport, for all O&D markets with an average of ten or more passengers each day",,,,,,,,,,
Carriers with less than 1% market share are not shown.,,,,,,,,,,
Carrier '99' signifies interline traffic.  Please see accompanying documentation for definitions and assumptions.,,,,,,,,,,

Date,Origin,Carrier,Zero-Passengers,Total Passengers,Average Fare,Revenue,RPMs,Avg Nonstop Distance,Passenger Mkt Share,Apt Size
2002,DEN,NK,0,181470,$117,21229302.8,274003180,1508.314046,0.011038053,L
2002,DEN,NW,66960,861880,$150,129327572.6,986554550,1050.721028,0.052424515,L
2002,DEN,TZ,2910,373920,$145,54236340.8,440051908.6,1124.565629,0.022743972,L
2002,DEN,UA,675710,7207230,$199,1433021591,7724767934,1049.932903,0.438385319,L
2002,DEN,US,103970,581370,$169,98314588,915299759.4,1458.746169,0.035362278,L
2002,DEN,Total,1398990,16440400,$176,2886801954,18553802714,1078.59601,1,L
2002,DFW,99,41530,332070,$238,78944075.3,425557862.5,1285.113199,0.018811649,L
2002,DFW,AA,815240,9977830,$202,2015469121,10196976828,1008.273765,0.565240568,L
2002,DFW,CO,32270,559810,$185,103371266.8,550901479.6,887.1502117,0.03171304,L
2002,DFW,DL,228010,2967890,$176,521547879.6,3070867856,984.1315547,0.168129927,L
2002,DFW,F9,3900,209870,$173,36376242.8,226350319,1011.917234,0.011889062,L
2002,DFW,FL,3520,309580,$158,48918111.2,354332344.7,992.4058079,0.017537598,L
2002,DFW,HP,12570,570530,$175,99657508.4,700392561.3,1166.947978,0.032320324,L
2002,DFW,N7,3620,187020,$143,26705222.6,223005420.5,1182.29184,0.010594617,L
2002,DFW,NW,52070,563560,$209,117976227.6,617217877.9,971.8854071,0.031925476,L
2002,DFW,TZ,1560,351270,$152,53309018.4,356615754.5,934.8813164,0.019899322,L
2002,DFW,UA,63710,871290,$195,169536648.2,998130737.6,1051.517899,0.049358273,L
2002,DFW,US,45940,534570,$180,96035458.5,680353284.7,1188.927213,0.030283203,L
2002,DFW,Total,1312540,17652360,$193,3403550787,18613262003,1015.896856,1,L
2002,DTW,99,27320,252600,$199,50370246.2,334732491.5,1315.119992,0.020560974,L
2002,DTW,AA,68130,892060,$158,141098387.8,1004926974,1052.40282,0.072611333,L
