Flights with Taxi-out Time Over Three Hours June 2007,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-Out Time: The time elapsed between departure from the origin airport gate and wheels off.,,,,,,,,,,,,,,,,,,,,,,,,
Ranked by taxi-out time,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-out Time over five hours,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Flight Date,Taxi-Out Time (in mins.),Flight Number,Origin Airport,Origin City,Destination Airport,Destination City,Day of Week,Scheduled Departure Time,Actual Gate Departure Time,Departure Delay (in mins.),Wheels Off,Air Time,Wheels On,Taxi-In Time (in mins.),Scheduled Arrival Time,Actual Gate Arrival Time,Arrival Delay (in mins.),Distance,Air Carrier ,NAS ,Security ,Weather ,Late Arriving Aircraft
ExpressJet,6/27,229,2720,EWR,"Newark, NJ",CHS,"Charleston, SC",3,1930,1954,24,2343,90,113,5,2155,118,203,628,0,203,0,0,0
American,6/8,228,185,JFK,"New York, NY",LAX,"Los Angeles, CA",5,2030,2055,25,43,323,306,7,2345,313,208,2475,0,183,0,0,25
American,6/19,228,1389,JFK,"New York, NY",DFW,"Dallas/Ft.Worth, TX",2,1745,1834,49,2222,198,40,16,2040,56,256,1391,29,207,0,0,20
JetBlue,6/19,228,179,JFK,"New York, NY",PHX,"Phoenix, AZ",2,1950,2035,45,23,106,209,3,2238,212,214,2153,2,169,0,0,43
United,6/8,228,19,JFK,"New York, NY",SFO,"San Francisco, CA",5,2045,2051,6,39,346,325,4,32,329,177,2586,0,177,0,0,0
United,6/19,228,839,JFK,"New York, NY",LAX,"Los Angeles, CA",2,1825,1826,1,2214,343,57,12,2135,109,214,2475,0,214,0,0,0
JetBlue,6/19,227,173,JFK,"New York, NY",SJC,"San Jose, CA",2,1800,1833,33,2220,196,136,6,2139,142,243,2569,0,210,0,0,33
Continental,6/8,227,133,LGA,"New York, NY",IAH,"Houston, TX",5,1500,1455,-5,1842,206,2108,12,1758,2120,202,1416,0,202,0,0,0
JetBlue,6/21,226,95,JFK,"New York, NY",OAK,"Oakland, CA",4,2045,2043,-2,29,154,303,5,19,308,169,2576,0,169,0,0,0
JetBlue,6/21,226,165,JFK,"New York, NY",PDX,"Portland, OR",4,1930,2023,53,9,152,241,6,2255,247,232,2454,53,179,0,0,0
American Eagle,6/12,226,4405,HPN,"White Plains, NY",ORD,"Chicago, IL",2,1659,1800,61,2146,106,2232,5,1830,2237,247,738,0,196,0,0,51
United,6/27,226,1150,ORD,"Chicago, IL",BUF,"Buffalo, NY",3,1322,1341,19,1727,68,1935,3,1558,1938,220,473,19,201,0,0,0
ExpressJet,6/13,226,3063,EWR,"Newark, NJ",CLT,"Charlotte, NC",3,1610,1610,0,1956,92,2128,6,1822,2134,192,529,0,192,0,0,0
American,6/12,225,1121,EWR,"Newark, NJ",DFW,"Dallas/Ft.Worth, TX",2,1530,1647,77,2032,174,2226,6,1815,2232,257,1372,0,200,0,0,57
American,6/26,225,1161,DFW,"Dallas/Ft.Worth, TX",ELP,"El Paso, TX",2,1420,1434,14,1819,75,1834,11,1455,1845,230,551,0,216,0,5,9
Northwest,6/8,225,511,LGA,"New York, NY",MSP,"Minneapolis/St. Paul, MN",5,1515,1512,-3,1857,169,2046,12,1719,2058,219,1020,0,219,0,0,0
JetBlue,6/8,223,195,JFK,"New York, NY",LAS,"Las Vegas, NV",5,1840,2036,116,19,130,229,7,2135,236,301,2248,0,301,0,0,0
US Airways,6/27,223,1224,PHL,"Philadelphia, PA",ROC,"Rochester, NY",3,2010,2024,14,7,48,55,7,2129,102,213,257,13,199,0,0,1
American,6/19,222,337,LGA,"New York, NY",ORD,"Chicago, IL",2,1510,1625,75,2007,140,2127,6,1640,2133,293,733,0,221,0,0,72
US Airways,6/19,222,1430,PHL,"Philadelphia, PA",PVD,"Providence, RI",2,2035,2205,90,147,65,252,6,2158,258,300,238,0,210,0,5,85
ExpressJet,6/16,222,2994,CLT,"Charlotte, NC",EWR,"Newark, NJ",6,1605,1557,-8,1939,103,2122,10,1814,2132,198,529,0,198,0,0,0
American,6/19,221,181,JFK,"New York, NY",LAX,"Los Angeles, CA",2,1700,1700,0,2041,,,0,2000,,,2475,0,0,0,0,0
JetBlue,6/1,221,165,JFK,"New York, NY",PDX,"Portland, OR",5,1930,2109,99,50,119,249,2,2259,251,232,2454,0,133,0,0,99
JetBlue,6/19,221,165,JFK,"New York, NY",PDX,"Portland, OR",2,1930,1933,3,2314,162,156,6,2255,202,187,2454,0,187,0,0,0
Delta,6/27,221,1170,ORD,"Chicago, IL",EWR,"Newark, NJ",3,1600,1922,202,2303,95,138,12,1955,150,355,719,0,188,0,0,167
Delta,6/11,221,79,JFK,"New York, NY",MIA,"Miami, FL",1,1840,2101,141,42,142,304,5,2215,309,294,1090,0,171,0,0,123
United,6/12,221,903,IAD,"Washington, DC",DEN,"Denver, CO",2,1740,1745,5,2126,180,2226,6,1926,2232,186,1452,0,186,0,0,0
United,6/12,221,919,IAD,"Washington, DC",SAN,"San Diego, CA",2,1740,1741,1,2122,285,2307,2,1953,2309,196,2253,0,196,0,0,0
ExpressJet,6/27,221,2753,EWR,"Newark, NJ",LIT,"Little Rock, AR",3,2020,2016,-4,2357,138,115,7,2254,122,148,1069,0,148,0,0,0
JetBlue,6/1,220,1107,JFK,"New York, NY",RDU,"Raleigh/Durham, NC",5,1745,1805,20,2145,64,2249,4,1940,2253,193,426,10,173,0,0,10
JetBlue,6/11,220,1016,JFK,"New York, NY",BOS,"Boston, MA",1,1840,2014,94,2354,62,56,6,2021,102,281,187,3,187,0,0,91
United,6/12,220,29,JFK,"New York, NY",LAX,"Los Angeles, CA",2,1630,1630,0,2010,302,2212,8,1940,2220,160,2475,0,160,0,0,0
United,6/27,220,458,ORD,"Chicago, IL",ALB,"Albany, NY",3,1330,1340,10,1720,101,2001,4,1630,2005,215,723,0,213,0,0,2
American,6/12,219,269,JFK,"New York, NY",SEA,"Seattle, WA",2,1725,1804,39,2143,315,2358,13,2035,11,216,2421,0,196,0,0,20
American,6/1,219,1389,JFK,"New York, NY",DFW,"Dallas/Ft.Worth, TX",5,1740,1805,25,2144,195,2359,34,2040,33,233,1391,0,233,0,0,0
American,6/27,219,1701,IAH,"Houston, TX",DFW,"Dallas/Ft.Worth, TX",3,1635,1704,29,2043,63,2146,58,1745,2244,299,224,0,270,0,3,26
Delta,6/1,219,133,JFK,"New York, NY",LAX,"Los Angeles, CA",5,1850,2016,86,2355,327,222,9,2227,231,244,2475,0,163,0,0,81
Delta,6/19,219,193,JFK,"New York, NY",ATL,"Atlanta, GA",2,1635,1634,-1,2013,117,2210,12,1919,2222,183,760,0,183,0,0,0
Southwest,6/27,219,700,PHL,"Philadelphia, PA",PIT,"Pittsburgh, PA",3,1800,2106,186,45,44,129,6,1940,135,355,267,8,169,0,0,178
JetBlue,6/1,218,629,JFK,"New York, NY",HOU,"Houston, TX",5,2000,2009,9,2347,134,201,8,2330,209,159,1428,9,150,0,0,0
JetBlue,6/8,218,1260,IAD,"Washington, DC",BOS,"Boston, MA",5,2050,2043,-7,21,67,128,6,2220,134,194,413,0,194,0,0,0
