table with row headers in column A and column headers in row 4,,,,,
"Table 12.  Missouri Incorporated Place Population Estimates and Population Change, Sorted within County: April 1, 2000 to July 1, 2002",,,,,
(leading dots indicate sub-parts),,,,,
Place,State,"July 1, 2002 Population","April 1, 2000 Population Estimates Base",Numerical Population Change,Percent Population Change
.Kahoka city,Missouri,"2,233","2,241",-8,-0.4
.Luray village,Missouri,103,102,1,1.0
.Revere town,Missouri,118,121,-3,-2.5
.Wayland city,Missouri,421,425,-4,-0.9
.Wyaconda city,Missouri,310,310,-,-
.Balance of Clark County,Missouri,"4,077","4,051",26,0.6
Clay County,Missouri,"191,381","184,006","7,375",4.0
.Avondale city,Missouri,532,529,3,0.6
.Birmingham village,Missouri,216,214,2,0.9
.Claycomo village,Missouri,"1,276","1,267",9,0.7
.Excelsior Estates village (pt.),Missouri,3,3,-,-
.Excelsior Springs city (pt.),Missouri,"10,949","10,676",273,2.6
.Gladstone city,Missouri,"26,778","26,365",413,1.6
.Glenaire city,Missouri,586,553,33,6.0
.Holt city (pt.),Missouri,363,337,26,7.7
.Independence city (pt.),Missouri,4,-,4,(X)
.Kansas City city (pt.),Missouri,"87,106","84,009","3,097",3.7
.Kearney city,Missouri,"6,313","5,519",794,14.4
.Lawson city (pt.),Missouri,162,142,20,14.1
.Liberty city,Missouri,"27,532","26,232","1,300",5.0
.Missouri City city,Missouri,314,296,18,6.1
.Mosby city,Missouri,245,242,3,1.2
.North Kansas City city,Missouri,"4,743","4,714",29,0.6
.Oaks village,Missouri,137,136,1,0.7
.Oakview village,Missouri,388,386,2,0.5
.Oakwood village,Missouri,198,197,1,0.5
.Oakwood Park village,Missouri,184,183,1,0.5
.Pleasant Valley city,Missouri,"3,383","3,321",62,1.9
.Prathersville village,Missouri,114,111,3,2.7
.Randolph village,Missouri,48,47,1,2.1
.Smithville city (pt.),Missouri,"5,989","5,543",446,8.0
.Sugar Creek city (pt.),Missouri,1,-,1,(X)
.Balance of Clay County,Missouri,"13,817","12,984",833,6.4
Clinton County,Missouri,"19,632","18,979",653,3.4
.Cameron city (pt.),Missouri,"4,483","4,487",-4,-0.1
.Gower city (pt.),Missouri,"1,388","1,376",12,0.9
.Holt city (pt.),Missouri,73,68,5,7.4
.Lathrop city,Missouri,"2,145","2,092",53,2.5
.Osborn city (pt.),Missouri,65,64,1,1.6
.Plattsburg city,Missouri,"2,407","2,354",53,2.3
.Trimble city,Missouri,466,451,15,3.3
.Turney village,Missouri,157,155,2,1.3
.Balance of Clinton County,Missouri,"8,448","7,932",516,6.5
Cole County,Missouri,"71,894","71,397",497,0.7
.Centertown town,Missouri,251,257,-6,-2.3
.Jefferson City city (pt.),Missouri,"39,054","39,699",-645,-1.6
.Lohman city,Missouri,163,168,-5,-3.0
.Russellville city,Missouri,744,758,-14,-1.8
.St. Martins city,Missouri,"1,073","1,023",50,4.9
.St. Thomas town,Missouri,281,287,-6,-2.1
.Taos city,Missouri,851,870,-19,-2.2
.Wardsville village,Missouri,955,976,-21,-2.2
.Balance of Cole County,Missouri,"28,522","27,359","1,163",4.3
Cooper County,Missouri,"17,007","16,670",337,2.0
.Blackwater city,Missouri,200,199,1,0.5
.Boonville city,Missouri,"8,438","8,206",232,2.8
.Bunceton city,Missouri,353,348,5,1.4
.Otterville city,Missouri,481,476,5,1.1
.Pilot Grove city,Missouri,732,723,9,1.2
.Prairie Home city,Missouri,224,220,4,1.8
.Wooldridge village,Missouri,47,47,-,-
.Balance of Cooper County,Missouri,"6,532","6,451",81,1.3
Crawford County,Missouri,"23,173","22,804",369,1.6
.Bourbon city,Missouri,"1,357","1,348",9,0.7
.Cuba city,Missouri,"3,299","3,242",57,1.8
.Leasburg village,Missouri,330,323,7,2.2
.St. Cloud village,Missouri,58,56,2,3.6
.Steelville city,Missouri,"1,438","1,429",9,0.6
.Sullivan city (pt.),Missouri,"1,349","1,324",25,1.9
.West Sullivan village,Missouri,78,78,-,-
.Balance of Crawford County,Missouri,"15,264","15,004",260,1.7
Dade County,Missouri,"7,877","7,923",-46,-0.6
.Arcola village,Missouri,45,45,-,-
.Dadeville village,Missouri,223,224,-1,-0.4
.Everton city,Missouri,321,322,-1,-0.3
.Greenfield city,Missouri,"1,333","1,358",-25,-1.8
.Lockwood city,Missouri,981,989,-8,-0.8
.South Greenfield village,Missouri,135,136,-1,-0.7
.Balance of Dade County,Missouri,"4,839","4,849",-10,-0.2
Dallas County,Missouri,"15,874","15,661",213,1.4
.Buffalo city,Missouri,"2,807","2,797",10,0.4
.Louisburg village,Missouri,147,147,-,-
.Urbana city,Missouri,411,407,4,1.0
.Balance of Dallas County,Missouri,"12,509","12,310",199,1.6
Daviess County,Missouri,"8,030","8,016",14,0.2
.Altamont village,Missouri,220,218,2,0.9
.Coffey city,Missouri,142,140,2,1.4
