File with 8 tables (1 table in each tab) with row headers in column A and column headers in rows 4 through 6.,,,,,,,,,,
"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
18 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"123,516","12,006","37,119","22,065","12,375","39,950","26,119","9,849","2,181","1,799"
...Median Earnings,"$31,885 ","$18,555 ","$26,543 ","$30,904 ","$33,039 ","$48,252 ","$42,461 ","$52,070 ","$82,046 ","$72,336 "
....Standard Error,$59 ,$218 ,$96 ,$119 ,$417 ,$400 ,$280 ,$195 ,"$2,189 ","$1,888 "
...Mean Earnings,"$42,109 ","$21,622 ","$31,140 ","$36,185 ","$37,944 ","$63,019 ","$54,400 ","$68,280 ","$115,671 ","$95,516 "
....Standard Error,$176 ,$249 ,$210 ,$287 ,$297 ,$443 ,$428 ,"$1,040 ","$3,014 ","$2,930 "
.White Alone,,,,,,,,,,
..With Earnings,"101,311","9,745","30,120","17,918","10,363","33,163","21,534","8,303","1,839","1,485"
...Median Earnings,"$32,485 ","$18,775 ","$27,291 ","$31,438 ","$34,359 ","$49,483 ","$44,394 ","$52,001 ","$85,471 ","$72,309 "
....Standard Error,$121 ,$244 ,$113 ,$142 ,$437 ,$437 ,$530 ,$224 ,"$3,206 ","$1,934 "
...Mean Earnings,"$43,352 ","$21,947 ","$32,245 ","$37,200 ","$38,698 ","$64,508 ","$55,992 ","$68,726 ","$117,556 ","$98,669 "
....Standard Error,$200 ,$276 ,$247 ,$316 ,$324 ,$503 ,$487 ,"$1,166 ","$3,333 ","$3,441 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"86,668","4,365","25,907","15,751","9,442","31,201","20,131","7,904","1,743","1,422"
...Median Earnings,"$35,573 ","$20,831 ","$28,392 ","$31,685 ","$35,035 ","$50,133 ","$45,157 ","$52,107 ","$86,948 ","$72,832 "
....Standard Error,$91 ,$235 ,$285 ,$153 ,$337 ,$152 ,$289 ,$233 ,"$3,479 ","$1,962 "
...Mean Earnings,"$45,642 ","$24,087 ","$32,880 ","$37,728 ","$39,204 ","$65,199 ","$56,674 ","$69,256 ","$118,662 ","$97,794 "
....Standard Error,$225 ,$437 ,$265 ,$349 ,$347 ,$522 ,$508 ,"$1,213 ","$3,457 ","$3,354 "
.Black Alone,,,,,,,,,,
..With Earnings,"13,825","1,479","5,153","2,892","1,279","3,020","2,157",668,107,85
