stcty,reg,div,stname,ctyname,time,popestimate,popest_nonhisp,popest_hisp,whitea_tot,whitea_nonhisp,whitea_hisp,blacka_tot,blacka_nonhisp,blacka_hisp,aiana_tot,aiana_nonhisp,aiana_hisp,asiaa_tot,asiaa_nonhisp,asiaa_hisp,nhpia_tot,nhpia_nonhisp,nhpia_hisp,twoplus_tot,twoplus_nonhisp,twoplus_hisp
26107,2,3,Michigan,Mecosta County,2,40553,40033,520,37807,37345,462,1512,1496,16,264,250,14,358,350,8,16,15,1,596,577,19
26109,2,3,Michigan,Menominee County,2,25326,25136,190,24425,24284,141,26,26,0,587,552,35,54,54,0,1,1,0,233,219,14
26111,2,3,Michigan,Midland County,2,82874,81587,1287,79639,78447,1192,904,878,26,340,315,25,1242,1233,9,29,26,3,720,688,32
26113,2,3,Michigan,Missaukee County,2,14478,14309,169,14200,14042,158,30,28,2,73,69,4,35,35,0,0,0,0,140,135,5
26115,2,3,Michigan,Monroe County,2,145945,142835,3110,140474,137612,2862,2833,2725,108,418,359,59,684,678,6,14,12,2,1522,1449,73
26117,2,3,Michigan,Montcalm County,2,61266,59872,1394,58630,57368,1262,1348,1319,29,380,337,43,168,162,6,42,21,21,698,665,33
26119,2,3,Michigan,Montmorency County,2,10315,10248,67,10162,10099,63,25,25,0,39,37,2,10,9,1,0,0,0,79,78,1
26121,2,3,Michigan,Muskegon County,2,170200,164199,6001,140914,135597,5317,24328,24053,275,1454,1252,202,739,721,18,30,17,13,2735,2559,176
26123,2,3,Michigan,Newaygo County,2,47874,46029,1845,46303,44571,1732,567,528,39,327,293,34,144,141,3,14,10,4,519,486,33
26125,2,3,Michigan,Oakland County,2,1194156,1165157,28999,1003787,978069,25718,122061,120406,1655,3413,2915,498,50071,49817,254,333,267,66,14491,13683,808
26127,2,3,Michigan,Oceana County,2,26873,23754,3119,26111,23122,2989,94,78,16,306,242,64,74,66,8,14,8,6,274,238,36
26129,2,3,Michigan,Ogemaw County,2,21645,21393,252,21148,20919,229,29,28,1,130,121,9,85,83,2,7,7,0,246,235,11
26131,2,3,Michigan,Ontonagon County,2,7818,7760,58,7635,7579,56,2,2,0,75,74,1,14,14,0,2,2,0,90,89,1
26133,2,3,Michigan,Osceola County,2,23197,22967,230,22697,22483,214,81,79,2,117,111,6,51,48,3,4,4,0,247,242,5
26135,2,3,Michigan,Oscoda County,2,9418,9329,89,9244,9166,78,8,8,0,68,61,7,7,6,1,1,1,0,90,87,3
26137,2,3,Michigan,Otsego County,2,23301,23126,175,22782,22623,159,42,42,0,149,140,9,79,79,0,9,9,0,240,233,7
26139,2,3,Michigan,Ottawa County,2,238314,221622,16692,227203,211429,15774,2708,2398,310,951,690,261,5180,5087,93,51,33,18,2221,1985,236
26141,2,3,Michigan,Presque Isle County,2,14411,14332,79,14159,14091,68,47,46,1,85,83,2,24,22,2,1,0,1,95,90,5
26143,2,3,Michigan,Roscommon County,2,25469,25265,204,25005,24815,190,82,81,1,163,158,5,49,49,0,11,10,1,159,152,7
26145,2,3,Michigan,Saginaw County,2,210042,195967,14075,165029,152440,12589,39724,38846,878,930,712,218,1741,1686,55,54,16,38,2564,2267,297
26147,2,3,Michigan,St. Clair County,2,164235,160642,3593,157374,154169,3205,3531,3413,118,852,749,103,670,647,23,32,26,6,1776,1638,138
26149,2,3,Michigan,St. Joseph County,2,62422,59934,2488,59425,57094,2331,1639,1580,59,242,209,33,377,367,10,11,5,6,728,679,49
26151,2,3,Michigan,Sanilac County,2,44547,43308,1239,43774,42578,1196,124,120,4,161,153,8,117,113,4,3,3,0,368,341,27
26153,2,3,Michigan,Schoolcraft County,2,8903,8820,83,7935,7872,63,149,144,5,545,533,12,37,37,0,0,0,0,237,234,3
26155,2,3,Michigan,Shiawassee County,2,71687,70392,1295,70285,69082,1203,147,136,11,338,297,41,206,201,5,15,8,7,696,668,28
26157,2,3,Michigan,Tuscola County,2,58266,56924,1342,56546,55284,1262,632,622,10,349,322,27,182,175,7,11,10,1,546,511,35
26159,2,3,Michigan,Van Buren County,2,76263,70629,5634,69980,64635,5345,4090,3980,110,738,659,79,245,231,14,10,4,6,1200,1120,80
26161,2,3,Michigan,Washtenaw County,2,322770,313932,8838,254320,246647,7673,40271,39720,551,1207,1054,153,20630,20519,111,133,113,20,6209,5879,330
26163,2,3,Michigan,Wayne County,2,2061162,1983955,77207,1114952,1047777,67175,873660,867238,6422,8016,6725,1291,36735,36235,500,622,422,200,27177,25558,1619
26165,2,3,Michigan,Wexford County,2,30484,30177,307,29787,29516,271,60,55,5,226,215,11,129,128,1,9,6,3,273,257,16
26001,2,3,Michigan,Alcona County,3,11706,11624,82,11526,11450,76,22,22,0,71,68,3,21,19,2,0,0,0,66,65,1
26003,2,3,Michigan,Alger County,3,9840,9739,101,8703,8644,59,607,598,9,326,300,26,37,35,2,3,0,3,164,162,2
26005,2,3,Michigan,Allegan County,3,106109,99983,6126,102461,96708,5753,1464,1343,121,603,526,77,616,571,45,59,10,49,906,825,81
26007,2,3,Michigan,Alpena County,3,31292,31108,184,30827,30659,168,84,80,4,122,118,4,108,106,2,0,0,0,151,145,6
26009,2,3,Michigan,Antrim County,3,23268,22973,295,22699,22436,263,53,49,4,250,238,12,28,28,0,29,16,13,209,206,3
26011,2,3,Michigan,Arenac County,3,17299,17063,236,16609,16388,221,328,321,7,162,156,6,48,48,0,2,0,2,150,150,0
26013,2,3,Michigan,Baraga County,3,8741,8659,82,6954,6910,44,464,446,18,1033,1017,16,27,26,1,0,0,0,263,260,3
26015,2,3,Michigan,Barry County,3,56908,56073,835,55821,55035,786,144,141,3,266,237,29,155,154,1,0,0,0,522,506,16
26017,2,3,Michigan,Bay County,3,110122,105771,4351,106199,102167,4032,1438,1358,80,642,529,113,544,534,10,2,0,2,1297,1183,114
26019,2,3,Michigan,Benzie County,3,16112,15878,234,15643,15422,221,46,44,2,256,247,9,28,27,1,1,0,1,138,138,0
26021,2,3,Michigan,Berrien County,3,162611,157724,4887,131611,127178,4433,26278,25998,280,723,651,72,1911,1883,28,115,97,18,1973,1917,56
26023,2,3,Michigan,Branch County,3,45870,44499,1371,43791,42533,1258,1239,1202,37,235,211,24,206,188,18,17,0,17,382,365,17
26025,2,3,Michigan,Calhoun County,3,138093,133732,4361,118005,114088,3917,15249,15017,232,879,792,87,1576,1548,28,14,11,3,2370,2276,94
26027,2,3,Michigan,Cass County,3,51160,49934,1226,46371,45264,1107,3185,3139,46,430,393,37,317,309,8,0,0,0,857,829,28
26029,2,3,Michigan,Charlevoix County,3,26155,25878,277,25339,25097,242,51,48,3,417,396,21,61,61,0,25,17,8,262,259,3
26031,2,3,Michigan,Cheboygan County,3,26567,26368,199,25330,25155,175,71,65,6,674,658,16,52,52,0,0,0,0,440,438,2
26033,2,3,Michigan,Chippewa County,3,38565,37957,608,29648,29241,407,2235,2171,64,5044,4936,108,187,180,7,5,0,5,1446,1429,17
26035,2,3,Michigan,Clare County,3,31377,31039,338,30711,30395,316,108,106,2,226,214,12,84,82,2,3,0,3,245,242,3
26037,2,3,Michigan,Clinton County,3,64967,63263,1704,63326,61699,1627,423,415,8,287,259,28,335,328,7,27,12,15,569,550,19
26039,2,3,Michigan,Crawford County,3,14345,14206,139,13908,13775,133,222,219,3,88,88,0,40,39,1,2,0,2,85,85,0
26041,2,3,Michigan,Delta County,3,38563,38383,180,37081,36917,164,38,37,1,834,823,11,126,124,2,1,0,1,483,482,1
26043,2,3,Michigan,Dickinson County,3,27480,27294,186,27015,26850,165,35,34,1,146,133,13,118,117,1,3,0,3,163,160,3
26045,2,3,Michigan,Eaton County,3,103907,100572,3335,95384,92314,3070,5595,5457,138,467,427,40,1199,1168,31,16,9,7,1246,1197,49
26047,2,3,Michigan,Emmet County,3,31538,31256,282,29930,29692,238,152,144,8,974,945,29,141,139,2,4,0,4,337,336,1
