    "","Table 6a.--Direct Investment: Income, Capital, Royalties and License Fees, and Other Private Services",
    "","[Millions of dollars]",
    "","",
    "","",
    "","",
"Line","(Credits +; debits -)",
    "","",
    "","U.S. direct investment abroad:",
    "","",
 "113",        -37448,        -10506,          1281,        -25199,        -17073,          3543,         -6296,         10038,
 "114",        -27650,          2048,          1219,        -15449,        -11692,         -1728,          4829,          6053,
 "115",         -2093,           617,         -3085,            89,           700,           203,           465,           677,
 "116",         -5762,        -13638,          -442,         -1984,         -2970,          -366,         -9580,          -425,
 "117",         -1943,           466,          3589,         -7855,         -3111,          5434,         -2010,          3733,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
 "118",         -9022,         -9702,         -2325,         -2159,         -2289,         -2249,         -2117,         -2190,
 "119",        -12174,        -13761,         -2644,         -2973,         -3263,         -3294,         -3069,         -3046,
 "120",          3152,          4059,           319,           814,           974,          1045,           952,           856,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
 "121",          3468,          3698,          -195,           907,          1335,          1421,           815,           727,
 "122",        -14838,        -16649,         -3867,         -3315,         -3446,         -4210,         -3863,         -4009,
 "123",         18306,         20348,          3672,          4222,          4781,          5631,          4678,          4736,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",         "NSA",         "NSA",          "SA",          "SA",          "SA",          "SA",          "SA",          "SA",
"Line", "2003:III/r/",  "2003:IV/p/",      "2002:I",     "2002:II",    "2002:III",     "2002:IV",   "2003:I/r/",  "2003:II/r/",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
   "1",         44736,         52449,         32058,         34874,         37264,         38735,         37076,         39203,
   "2",         43264,         50996,         30735,         33578,         35919,         37371,         35696,         37755,
   "3",          7987,         18121,         10536,         11193,         12322,          9401,          9483,         11487,
   "4",         35277,         32875,         20199,         22385,         23597,         27970,         26213,         26268,
   "5",         30600,         28223,         15802,         17890,         19024,         23340,         21547,         21586,
   "6",          4677,          4652,          4397,          4495,          4573,          4630,          4666,          4682,
   "7",          1472,          1453,          1323,          1296,          1345,          1364,          1380,          1448,
