stcty,reg,div,stname,ctyname,time,popestimate,popest_nonhisp,popest_hisp,whiteac_tot,whiteac_nonhisp,whiteac_hisp,blackac_tot,blackac_nonhisp,blackac_hisp,aianac_tot,aianac_nonhisp,aianac_hisp,asiaac_tot,asiaac_nonhisp,asiaac_hisp,nhpiac_tot,nhpiac_nonhisp,nhpiac_hisp
18155,2,3,Indiana,Switzerland County,2,9065,8987,78,9021,8947,74,23,23,0,47,44,3,8,7,1,2,2,0
18157,2,3,Indiana,Tippecanoe County,2,148955,141121,7834,137766,130180,7586,4306,4183,123,987,849,138,7241,7181,60,157,123,34
18159,2,3,Indiana,Tipton County,2,16577,16376,201,16458,16269,189,37,36,1,74,61,13,72,71,1,15,15,0
18161,2,3,Indiana,Union County,2,7349,7327,22,7294,7273,21,22,22,0,34,33,1,20,20,0,7,7,0
18163,2,3,Indiana,Vanderburgh County,2,171922,170243,1679,155889,154384,1505,15192,15067,125,897,832,65,1651,1619,32,133,114,19
18165,2,3,Indiana,Vermillion County,2,16788,16681,107,16672,16570,102,61,60,1,122,117,5,45,39,6,9,9,0
18167,2,3,Indiana,Vigo County,2,105848,104573,1275,97650,96495,1155,7086,6990,96,788,743,45,1565,1550,15,85,75,10
18169,2,3,Indiana,Wabash County,2,34960,34546,414,34425,34030,395,190,186,4,366,354,12,168,164,4,19,16,3
18171,2,3,Indiana,Warren County,2,8419,8382,37,8383,8346,37,12,12,0,33,30,3,19,19,0,3,3,0
18173,2,3,Indiana,Warrick County,2,52383,52043,340,51410,51087,323,615,601,14,177,174,3,406,403,3,32,30,2
18175,2,3,Indiana,Washington County,2,27223,27023,200,27105,26907,198,48,48,0,149,143,6,63,62,1,4,4,0
18177,2,3,Indiana,Wayne County,2,71097,70126,971,66816,65926,890,4239,4175,64,439,416,23,489,471,18,54,47,7
18179,2,3,Indiana,Wells County,2,27600,27203,397,27433,27054,379,96,91,5,150,138,12,83,80,3,12,11,1
18181,2,3,Indiana,White County,2,25267,23918,1349,25078,23754,1324,65,52,13,160,153,7,83,81,2,21,13,8
18183,2,3,Indiana,Whitley County,2,30707,30431,276,30467,30198,269,91,89,2,201,188,13,87,86,1,18,16,2
18001,2,3,Indiana,Adams County,3,33618,32490,1128,33425,32325,1100,85,75,10,149,136,13,78,76,2,14,2,12
