table with row headers in column A and column headers in row 3,,,,,
"Table 8.  Illinois Incorporated Place Population Estimates and Population Change, Sorted Alphabetically: July 1, 2001 to July 1, 2002",,,,,
Place,State,"July 1, 2002 Population","July 1, 2001 Population",Numerical Population Change,Percent Population Change
Hamilton city,Illinois,"2,952","3,002",-50,-1.7
Hammond village,Illinois,518,525,-7,-1.3
Hampshire village,Illinois,"3,039","2,974",65,2.2
Hampton village,Illinois,"1,635","1,633",2,0.1
Hanaford village,Illinois,57,56,1,1.8
Hanna City village,Illinois,993,996,-3,-0.3
Hanover Park village,Illinois,"38,037","38,192",-155,-0.4
Hanover village,Illinois,835,837,-2,-0.2
Hardin village,Illinois,950,958,-8,-0.8
Harmon village,Illinois,148,148,-,-
Harrisburg city,Illinois,"9,616","9,698",-82,-0.8
Harristown village,Illinois,"1,293","1,309",-16,-1.2
Hartford village,Illinois,"1,530","1,537",-7,-0.5
Hartsburg village,Illinois,348,353,-5,-1.4
Harvard city,Illinois,"8,413","8,277",136,1.6
Harvel village,Illinois,233,234,-1,-0.4
Harvey city,Illinois,"29,714","29,889",-175,-0.6
Harwood Heights village,Illinois,"8,367","8,364",3,-
Havana city,Illinois,"3,536","3,562",-26,-0.7
Hawthorn Woods village,Illinois,"6,658","6,486",172,2.7
Hazel Crest village,Illinois,"14,863","14,876",-13,-0.1
Hebron village,Illinois,"1,072","1,063",9,0.8
Hecker village,Illinois,486,480,6,1.3
Henderson village,Illinois,315,317,-2,-0.6
Hennepin village,Illinois,716,709,7,1.0
Henning village,Illinois,242,241,1,0.4
Henry city,Illinois,"2,502","2,489",13,0.5
Herrick village,Illinois,525,523,2,0.4
Herrin city,Illinois,"11,364","11,362",2,-
Herscher village,Illinois,"1,567","1,576",-9,-0.6
Hettick village,Illinois,181,181,-,-
Heyworth village,Illinois,"2,479","2,458",21,0.9
Hickory Hills city,Illinois,"13,848","13,894",-46,-0.3
Hidalgo village,Illinois,122,122,-,-
Highland Park city,Illinois,"30,558","30,338",220,0.7
Highland city,Illinois,"8,674","8,638",36,0.4
Highwood city,Illinois,"5,498","5,489",9,0.2
Hillcrest village,Illinois,"1,233","1,201",32,2.7
Hillsboro city,Illinois,"4,305","4,323",-18,-0.4
Hillsdale village,Illinois,582,585,-3,-0.5
Hillside village,Illinois,"8,091","8,131",-40,-0.5
Hillview village,Illinois,175,176,-1,-0.6
Hinckley village,Illinois,"2,014","1,983",31,1.6
Hindsboro village,Illinois,356,358,-2,-0.6
Hinsdale village,Illinois,"17,855","17,643",212,1.2
Hodgkins village,Illinois,"2,155","2,153",2,0.1
Hoffman Estates village,Illinois,"49,795","49,504",291,0.6
Hoffman village,Illinois,463,465,-2,-0.4
Holiday Hills village,Illinois,826,828,-2,-0.2
